id,sex,birthdate,Year of birth,Age,user_name,instagram_number_of_posts,instagram_number_of_followers,instagram_average_number_of_comments,instagram_average_number_of_reactions,instagram_average_engagement,instagram_average_engagement_rate
2449,female,03/02/1999,1999,19,insta_2449,73,426,"2,780821918","55,68493151","58,46575342","0,1372435526"
5198,female,04/02/1999,1999,19,insta_5198,13,427,"0,07692307692","49,46153846","49,53846154","0,1160151324"
11592,female,14/09/1998,1998,19,insta_11592,100,427,"1,39","67,31","68,7","0,1608899297"
14449,female,14/10/1998,1998,19,insta_14449,100,428,"3,37","35,22","38,59","0,0901635514"
4958,female,13/10/1998,1998,19,insta_4958,48,430,"1,8125","64,79166667","66,60416667","0,1548934109"
9176,female,25/04/1999,1999,19,insta_9176,6,430,"23,33333333","158,3333333","181,6666667","0,4224806202"
12584,female,08/04/1999,1999,19,insta_12584,7,430,"1,571428571","35,42857143",37,"0,08604651163"
3866,female,14/08/1998,1998,19,insta_3866,4,433,"0,25","43,25","43,5","0,1004618938"
6329,female,18/08/1998,1998,19,insta_6329,100,434,"2,18","36,84","39,02","0,0899078341"
5826,female,03/09/1998,1998,19,insta_5826,100,435,"0,66","130,96","131,62","0,3025747126"
14181,female,22/11/1998,1998,19,insta_14181,11,435,"4,454545455","150,2727273","154,7272727","0,3556948798"
4067,female,04/06/1999,1999,19,insta_4067,58,438,"3,086206897","76,18965517","79,27586207","0,1809951189"
7134,female,24/03/1999,1999,19,insta_7134,90,443,"5,988888889","138,8777778","144,8666667","0,3270127916"
5288,female,31/08/1998,1998,19,insta_5288,178,444,"9,174157303","58,29775281","67,47191011","0,1519637615"
3746,female,24/10/1998,1998,19,insta_3746,30,445,"3,8","62,5","66,3","0,148988764"
9193,female,31/12/1998,1998,19,insta_9193,20,445,"3,4","43,25","46,65","0,1048314607"
598,female,15/02/1999,1999,19,insta_598,11,447,"8,636363636","99,45454545","108,0909091","0,2418141143"
9018,female,05/04/1999,1999,19,insta_9018,50,448,"1,82","125,88","127,7","0,2850446429"
9370,female,02/06/1999,1999,19,insta_9370,1,449,2,15,17,"0,03786191537"
14850,female,16/10/1998,1998,19,insta_14850,80,449,"2,8625","147,15","150,0125","0,3341035635"
6553,female,07/03/1999,1999,19,insta_6553,20,450,"7,65","109,55","117,2","0,2604444444"
5906,female,27/05/1999,1999,19,insta_5906,69,451,"1,260869565","62,7826087","64,04347826","0,1420032777"
12192,female,05/01/1999,1999,19,insta_12192,40,452,"10,425","153,1","163,525","0,3617809735"
6556,female,04/08/1998,1998,19,insta_6556,36,454,"0,7777777778","47,02777778","47,80555556","0,1052985805"
8045,female,20/12/1998,1998,19,insta_8045,24,455,"6,958333333","201,6666667","208,625","0,4585164835"
10969,female,25/03/1999,1999,19,insta_10969,16,457,"3,75","99,75","103,5","0,2264770241"
3699,female,29/05/1999,1999,19,insta_3699,65,459,"2,169230769","37,35384615","39,52307692","0,0861069214"
3852,female,02/10/1998,1998,19,insta_3852,100,463,"1,32","64,39","65,71","0,1419222462"
1140,female,16/08/1998,1998,19,insta_1140,100,464,"2,31","55,44","57,75","0,1244612069"
12728,female,05/01/1999,1999,19,insta_12728,4,464,3,"76,5","79,5","0,1713362069"
14830,female,10/07/1998,1998,19,insta_14830,100,464,"0,93","47,88","48,81","0,1051939655"
1664,female,12/12/1998,1998,19,insta_1664,100,465,"2,43","45,36","47,79","0,1027741935"
4645,female,06/09/1998,1998,19,insta_4645,30,469,"1,333333333","45,53333333","46,86666667","0,09992892679"
5656,female,18/06/1998,1998,19,insta_5656,94,470,"4,882978723","71,96808511","76,85106383","0,1635129018"
7790,female,11/02/1999,1999,19,insta_7790,20,471,"5,9","138,95","144,85","0,307537155"
11618,female,23/10/1998,1998,19,insta_11618,35,475,"2,4","54,34285714","56,74285714","0,1194586466"
1985,female,07/05/1999,1999,19,insta_1985,100,476,"2,21","28,41","30,62","0,06432773109"
2389,male,25/12/1998,1998,19,insta_2389,21,476,"1,619047619","59,38095238",61,"0,1281512605"
5885,female,04/11/1998,1998,19,insta_5885,100,476,"3,5","93,92","97,42","0,2046638655"
4789,female,30/05/1999,1999,19,insta_4789,15,477,"6,066666667","82,26666667","88,33333333","0,1851851852"
14038,female,27/04/1999,1999,19,insta_14038,4,477,"41,75","143,25",185,"0,3878406709"
11772,female,02/06/1999,1999,19,insta_11772,70,478,"3,285714286","74,77142857","78,05714286","0,163299462"
2944,female,05/07/1998,1998,19,insta_2944,15,479,"2,533333333","91,06666667","93,6","0,1954070981"
6022,female,09/07/1998,1998,19,insta_6022,61,480,"0,9508196721","62,75409836","63,70491803","0,1327185792"
12677,female,21/02/1999,1999,19,insta_12677,19,483,"2,736842105","95,36842105","98,10526316","0,2031164869"
1338,female,06/11/1998,1998,19,insta_1338,100,485,"2,56","87,82","90,38","0,1863505155"
3466,female,07/12/1998,1998,19,insta_3466,100,485,"1,41","29,5","30,91","0,06373195876"
6067,female,09/12/1998,1998,19,insta_6067,99,486,"0,8888888889","50,82828283","51,71717172","0,1064139336"
15271,female,24/07/1998,1998,19,insta_15271,100,487,"0,69","22,41","23,1","0,04743326489"
5030,female,28/12/1998,1998,19,insta_5030,53,489,"1,075471698","40,30188679","41,37735849","0,08461627503"
4679,female,05/03/1999,1999,19,insta_4679,100,495,"2,07","41,06","43,13","0,08713131313"
1786,female,22/07/1998,1998,19,insta_1786,6,496,"3,333333333","71,5","74,83333333","0,1508736559"
2427,female,09/03/1999,1999,19,insta_2427,10,500,"18,2","174,6","192,8","0,3856"
9453,female,08/06/1999,1999,19,insta_9453,33,500,"8,515151515","94,09090909","102,6060606","0,2052121212"
8534,female,03/08/1998,1998,19,insta_8534,16,501,"0,125","10,875",11,"0,02195608782"
8890,female,03/02/1999,1999,19,insta_8890,14,502,5,"130,6428571","135,6428571","0,2702048947"
11242,female,26/05/1999,1999,19,insta_11242,100,502,"2,06","61,52","63,58","0,1266533865"
7364,female,12/05/1999,1999,19,insta_7364,75,505,"12,21333333","168,9733333","181,1866667","0,3587854785"
1517,female,21/02/1999,1999,19,insta_1517,4,507,"10,75","86,5","97,25","0,1918145957"
7074,male,06/04/1999,1999,19,insta_7074,51,507,"1,117647059","50,11764706","51,23529412","0,1010558069"
9979,female,10/06/1998,1998,19,insta_9979,52,507,"4,769230769","110,1346154","114,9038462","0,226634805"
5118,female,27/05/1999,1999,19,insta_5118,100,509,"1,09",24,"25,09","0,04929273084"
6263,female,19/01/1999,1999,19,insta_6263,19,509,"14,52631579","135,1578947","149,6842105","0,2940750698"
8226,female,04/03/1999,1999,19,insta_8226,11,509,"25,63636364","135,9090909","161,5454545","0,3173781032"
6626,female,27/12/1998,1998,19,insta_6626,35,510,"4,6","79,82857143","84,42857143","0,1655462185"
5085,female,30/08/1998,1998,19,insta_5085,100,514,"1,47","89,28","90,75","0,1765564202"
4689,female,23/01/1999,1999,19,insta_4689,1,515,3,68,71,"0,1378640777"
5524,female,07/06/1999,1999,19,insta_5524,20,516,"2,9","49,9","52,8","0,1023255814"
7931,male,17/02/1999,1999,19,insta_7931,14,518,18,"183,9285714","201,9285714","0,389823497"
15194,male,17/05/1999,1999,19,insta_15194,30,518,"0,7","25,16666667","25,86666667","0,04993564994"
9729,female,12/05/1999,1999,19,insta_9729,100,524,"1,89","57,98","59,87","0,1142557252"
12787,female,13/04/1999,1999,19,insta_12787,51,525,"1,705882353","87,94117647","89,64705882","0,1707563025"
6514,female,27/08/1998,1998,19,insta_6514,97,526,"1,288659794","50,16494845","51,45360825","0,097820548"
1863,male,16/04/1999,1999,19,insta_1863,24,528,"0,4166666667","27,08333333","27,5","0,05208333333"
2084,female,06/12/1998,1998,19,insta_2084,9,528,1,"132,4444444","133,4444444","0,2527356902"
9169,female,22/01/1999,1999,19,insta_9169,8,528,"3,25","58,75",62,"0,1174242424"
7056,female,11/08/1998,1998,19,insta_7056,100,530,"0,38","9,46","9,84","0,01856603774"
11503,female,28/07/1998,1998,19,insta_11503,40,531,"4,5","121,75","126,25","0,2377589454"
10241,female,15/03/1999,1999,19,insta_10241,100,532,"3,7","119,86","123,56","0,2322556391"
409,female,21/05/1999,1999,19,insta_409,98,534,"0,5816326531","52,83673469","53,41836735","0,1000343958"
1033,female,22/06/1998,1998,19,insta_1033,56,534,"3,160714286","154,6964286","157,8571429","0,2956126271"
2929,female,02/07/1998,1998,19,insta_2929,100,534,"4,83","48,64","53,47","0,1001310861"
8068,female,28/04/1999,1999,19,insta_8068,13,534,"9,230769231","108,8461538","118,0769231","0,2211178335"
8246,female,02/07/1998,1998,19,insta_8246,81,535,"0,975308642","32,69135802","33,66666667","0,06292834891"
9614,female,04/06/1999,1999,19,insta_9614,35,535,"2,428571429","47,54285714","49,97142857","0,09340453939"
1509,female,01/06/1999,1999,19,insta_1509,100,539,"1,96","34,12","36,08","0,06693877551"
5392,female,14/01/1999,1999,19,insta_5392,44,540,"1,25","37,5","38,75","0,07175925926"
9461,female,21/02/1999,1999,19,insta_9461,15,541,"13,6","107,0666667","120,6666667","0,2230437461"
7220,female,03/04/1999,1999,19,insta_7220,86,542,"2,104651163","81,37209302","83,47674419","0,1540161332"
2624,female,21/03/1999,1999,19,insta_2624,73,545,"5,260273973","87,57534247","92,83561644","0,1703405806"
11297,female,27/08/1998,1998,19,insta_11297,8,545,"0,625","32,5","33,125","0,06077981651"
13478,female,17/06/1998,1998,19,insta_13478,100,548,"1,56","69,77","71,33","0,1301642336"
11449,female,15/08/1998,1998,19,insta_11449,100,552,"8,81","155,24","164,05","0,297192029"
12631,female,30/05/1999,1999,19,insta_12631,1,553,0,57,57,"0,103074141"
4768,female,29/12/1998,1998,19,insta_4768,95,556,"2,105263158","42,95789474","45,06315789","0,08104884513"
10140,female,21/04/1999,1999,19,insta_10140,100,557,"1,92","74,61","76,53","0,1373967684"
1131,female,21/09/1998,1998,19,insta_1131,66,558,"6,878787879","123,3939394","130,2727273","0,2334636689"
14629,female,28/05/1999,1999,19,insta_14629,26,558,"1,538461538","95,46153846",97,"0,1738351254"
1926,female,02/04/1999,1999,19,insta_1926,32,559,"13,75","200,5","214,25","0,383273703"
1804,female,04/05/1999,1999,19,insta_1804,88,560,"2,727272727","110,7954545","113,5227273","0,2027191558"
3079,female,17/01/1999,1999,19,insta_3079,32,561,"8,625","106,84375","115,46875","0,2058266488"
3347,male,02/05/1999,1999,19,insta_3347,100,569,"5,78","41,45","47,23","0,08300527241"
5822,female,18/09/1998,1998,19,insta_5822,35,571,"0,8285714286","22,82857143","23,65714286","0,0414310733"
5404,female,15/03/1999,1999,19,insta_5404,10,573,2,"89,4","91,4","0,1595113438"
5968,female,17/08/1998,1998,19,insta_5968,100,573,"2,27","124,08","126,35","0,2205061082"
7277,female,24/06/1998,1998,19,insta_7277,5,573,0,"31,8","31,8","0,0554973822"
3200,female,03/02/1999,1999,19,insta_3200,7,577,"0,1428571429","50,14285714","50,28571429","0,08715028472"
898,female,01/03/1999,1999,19,insta_898,3,578,0,"312,6666667","312,6666667","0,5409457901"
13786,female,02/06/1999,1999,19,insta_13786,52,584,"3,576923077","76,63461538","80,21153846","0,1373485248"
6025,female,03/10/1998,1998,19,insta_6025,100,588,"3,01","53,42","56,43","0,09596938776"
14081,female,04/10/1998,1998,19,insta_14081,64,589,"1,640625","72,21875","73,859375","0,1253979202"
1539,female,29/12/1998,1998,19,insta_1539,100,590,"1,84","31,24","33,08","0,05606779661"
6326,female,31/07/1998,1998,19,insta_6326,100,591,"1,78","65,32","67,1","0,113536379"
9511,female,28/06/1998,1998,19,insta_9511,18,591,"2,833333333","37,33333333","40,16666667","0,06796390299"
9894,female,20/04/1999,1999,19,insta_9894,1,594,2,61,63,"0,1060606061"
6842,female,24/01/1999,1999,19,insta_6842,11,597,"14,18181818","85,18181818","99,36363636","0,1664382519"
927,female,13/01/1999,1999,19,insta_927,14,601,"9,928571429","82,71428571","92,64285714","0,1541478488"
2399,female,27/04/1999,1999,19,insta_2399,33,602,"1,96969697","151,7878788","153,7575758","0,2554112554"
5183,female,10/07/1998,1998,19,insta_5183,100,603,"1,82","68,88","70,7","0,1172470978"
4722,female,23/11/1998,1998,19,insta_4722,12,604,"1,166666667","72,75","73,91666667","0,1223785872"
1928,female,02/04/1999,1999,19,insta_1928,1,606,2,15,17,"0,02805280528"
8027,female,28/02/1999,1999,19,insta_8027,100,606,"2,6","58,07","60,67","0,1001155116"
9210,female,26/11/1998,1998,19,insta_9210,56,606,"1,464285714","46,14285714","47,60714286","0,07855964168"
15596,female,19/08/1998,1998,19,insta_15596,21,606,"2,142857143","93,52380952","95,66666667","0,1578657866"
14524,female,28/09/1998,1998,19,insta_14524,100,608,"4,2","87,68","91,88","0,1511184211"
10903,female,20/04/1999,1999,19,insta_10903,24,609,"13,79166667","101,1666667","114,9583333","0,1887657362"
3641,female,15/11/1998,1998,19,insta_3641,37,611,"0,2162162162","32,64864865","32,86486486","0,05378864953"
1832,female,05/02/1999,1999,19,insta_1832,17,612,"2,588235294","54,64705882","57,23529412","0,09352172241"
8842,female,06/12/1998,1998,19,insta_8842,100,612,"4,57","96,95","101,52","0,1658823529"
9231,female,11/03/1999,1999,19,insta_9231,70,612,"2,428571429","45,38571429","47,81428571","0,07812791783"
1760,female,12/10/1998,1998,19,insta_1760,100,615,"5,11","76,9","82,01","0,1333495935"
3944,female,04/04/1999,1999,19,insta_3944,73,615,"2,150684932","92,46575342","94,61643836","0,1538478672"
11613,female,22/02/1999,1999,19,insta_11613,1,617,8,138,146,"0,2366288493"
1193,female,13/09/1998,1998,19,insta_1193,10,619,"4,3","54,1","58,4","0,0943457189"
11892,female,14/05/1999,1999,19,insta_11892,100,620,"1,11","40,98","42,09","0,06788709677"
10689,male,02/05/1999,1999,19,insta_10689,52,621,"1,461538462","46,76923077","48,23076923","0,07766629506"
16174,female,25/09/1998,1998,19,insta_16174,2,623,0,"113,5","113,5","0,1821829856"
12206,female,10/02/1999,1999,19,insta_12206,38,624,"9,026315789","114,1052632","123,1315789","0,1973262483"
5070,female,14/05/1999,1999,19,insta_5070,100,625,"4,57","128,75","133,32","0,213312"
4389,female,10/05/1999,1999,19,insta_4389,100,631,"0,93","28,02","28,95","0,04587955626"
10851,female,24/01/1999,1999,19,insta_10851,100,631,"3,97","65,26","69,23","0,1097147385"
13440,female,24/03/1999,1999,19,insta_13440,100,638,"1,5","53,51","55,01","0,08622257053"
6070,female,28/03/1999,1999,19,insta_6070,75,639,"1,986666667","58,72","60,70666667","0,09500260824"
5231,female,06/10/1998,1998,19,insta_5231,48,642,"0,6666666667","96,6875","97,35416667","0,1516420042"
7778,male,14/02/1999,1999,19,insta_7778,1,642,45,230,275,"0,4283489097"
2591,female,27/03/1999,1999,19,insta_2591,100,643,"2,52","40,76","43,28","0,06730948678"
2626,female,11/12/1998,1998,19,insta_2626,87,645,"2,712643678","68,47126437","71,18390805","0,1103626481"
2993,female,29/03/1999,1999,19,insta_2993,30,647,"6,266666667","47,9","54,16666667","0,0837197321"
13947,female,27/01/1999,1999,19,insta_13947,78,648,"9,576923077","96,82051282","106,3974359","0,1641935739"
9551,female,04/01/1999,1999,19,insta_9551,100,652,"1,33","322,48","323,81","0,4966411043"
13988,female,23/04/1999,1999,19,insta_13988,50,653,"2,22",119,"121,22","0,1856355283"
410,male,03/06/1999,1999,19,insta_410,9,659,"26,11111111","206,7777778","232,8888889","0,3533974035"
7879,female,08/08/1998,1998,19,insta_7879,10,660,"0,4",70,"70,4","0,1066666667"
12134,male,17/03/1999,1999,19,insta_12134,1,662,10,226,236,"0,3564954683"
7111,female,12/01/1999,1999,19,insta_7111,15,663,"1,333333333","36,86666667","38,2","0,05761689291"
4578,female,03/11/1998,1998,19,insta_4578,68,668,"11,55882353","269,1911765","280,75","0,4202844311"
12061,female,14/03/1999,1999,19,insta_12061,20,670,"7,5","144,4","151,9","0,2267164179"
8446,female,14/11/1998,1998,19,insta_8446,23,672,"1,652173913","25,26086957","26,91304348","0,04004917184"
14130,female,18/03/1999,1999,19,insta_14130,80,674,"4,9625","193,0875","198,05","0,29384273"
5499,male,25/03/1999,1999,19,insta_5499,100,675,"2,08","42,72","44,8","0,06637037037"
9073,female,22/02/1999,1999,19,insta_9073,1,676,0,6,6,"0,008875739645"
4764,female,01/01/1999,1999,19,insta_4764,100,677,"1,75","104,29","106,04","0,1566322009"
1948,female,30/04/1999,1999,19,insta_1948,100,682,"2,44","175,71","178,15","0,2612170088"
2609,female,29/08/1998,1998,19,insta_2609,4,686,1,"86,75","87,75","0,1279154519"
4094,female,12/03/1999,1999,19,insta_4094,40,686,"5,1","117,65","122,75","0,1789358601"
8826,female,19/02/1999,1999,19,insta_8826,25,687,"5,12","187,24","192,36","0,28"
1521,female,11/09/1998,1998,19,insta_1521,16,688,6,"86,5625","92,5625","0,1345385174"
13614,female,06/05/1999,1999,19,insta_13614,7,688,8,"108,5714286","116,5714286","0,1694352159"
3317,female,07/12/1998,1998,19,insta_3317,81,692,"1,666666667","54,43209877","56,09876543","0,0810675801"
6932,female,02/09/1998,1998,19,insta_6932,100,697,"3,55","64,75","68,3","0,09799139168"
15561,female,18/04/1999,1999,19,insta_15561,100,698,"2,1","119,86","121,96","0,1747277937"
3087,female,27/08/1998,1998,19,insta_3087,87,699,"5,413793103","109,7471264","115,1609195","0,1647509579"
7903,female,21/04/1999,1999,19,insta_7903,15,706,"12,13333333","192,1333333","204,2666667","0,2893295562"
14604,male,20/05/1999,1999,19,insta_14604,58,709,"0,9655172414","45,06896552","46,03448276","0,0649287486"
4280,female,21/01/1999,1999,19,insta_4280,39,710,"4,871794872","52,8974359","57,76923077","0,08136511376"
5365,female,02/04/1999,1999,19,insta_5365,100,711,"1,72","138,52","140,24","0,1972433193"
7987,female,16/08/1998,1998,19,insta_7987,19,711,"1,421052632","135,1052632","136,5263158","0,1920201347"
3736,female,16/06/1998,1998,19,insta_3736,30,712,"1,933333333","118,9333333","120,8666667","0,1697565543"
2223,female,22/06/1998,1998,19,insta_2223,4,713,"6,5","105,75","112,25","0,1574333801"
3265,female,29/09/1998,1998,19,insta_3265,181,717,"2,674033149","96,38121547","99,05524862","0,1381523691"
8608,female,11/03/1999,1999,19,insta_8608,76,718,"2,592105263","87,32894737","89,92105263","0,1252382349"
1185,female,20/02/1999,1999,19,insta_1185,20,724,"4,95","99,5","104,45","0,1442679558"
1094,female,05/05/1999,1999,19,insta_1094,8,727,21,"158,125","179,125","0,246389271"
1490,female,06/01/1999,1999,19,insta_1490,89,732,"0,3146067416","79,05617978","79,37078652","0,1084300362"
3865,female,21/12/1998,1998,19,insta_3865,44,732,"9,159090909","60,79545455","69,95454545","0,09556631893"
8509,female,20/08/1998,1998,19,insta_8509,28,732,"1,607142857","66,46428571","68,07142857","0,09299375488"
5794,female,13/07/1998,1998,19,insta_5794,73,735,"3,753424658","85,35616438","89,10958904","0,1212375361"
5809,female,06/09/1998,1998,19,insta_5809,100,735,"1,06","33,62","34,68","0,04718367347"
6111,female,21/08/1998,1998,19,insta_6111,63,736,"12,46031746","244,1269841","256,5873016","0,3486240511"
16109,female,26/10/1998,1998,19,insta_16109,100,738,"5,15","70,74","75,89","0,1028319783"
3942,female,28/08/1998,1998,19,insta_3942,100,739,"2,67","50,03","52,7","0,07131258457"
3272,female,31/01/1999,1999,19,insta_3272,10,742,"10,6","116,7","127,3","0,1715633423"
15188,female,07/02/1999,1999,19,insta_15188,100,744,"2,35","94,91","97,26","0,1307258065"
4894,female,05/02/1999,1999,19,insta_4894,45,745,"3,222222222","144,8","148,0222222","0,1986875466"
2936,female,19/06/1998,1998,19,insta_2936,8,748,"5,625","215,125","220,75","0,2951203209"
9439,female,12/11/1998,1998,19,insta_9439,35,749,"1,571428571","68,48571429","70,05714286","0,09353423612"
13572,female,26/07/1998,1998,19,insta_13572,100,749,"19,04","146,91","165,95","0,2215620828"
7250,female,17/05/1999,1999,19,insta_7250,8,754,"3,5","42,25","45,75","0,06067639257"
8400,female,01/09/1998,1998,19,insta_8400,19,754,"1,052631579","51,36842105","52,42105263","0,06952394248"
5719,female,15/02/1999,1999,19,insta_5719,100,755,"0,07","9,6","9,67","0,01280794702"
13275,female,10/04/1999,1999,19,insta_13275,100,759,"3,76","54,28","58,04","0,07646903821"
5100,female,07/04/1999,1999,19,insta_5100,58,763,"5,982758621","176,9310345","182,9137931","0,2397297419"
10316,female,12/05/1999,1999,19,insta_10316,10,765,"3,7","77,2","80,9","0,105751634"
6787,female,03/08/1998,1998,19,insta_6787,18,769,"16,61111111","149,8888889","166,5","0,2165149545"
3428,female,16/11/1998,1998,19,insta_3428,4,771,"7,75",101,"108,75","0,1410505837"
9045,female,08/06/1999,1999,19,insta_9045,82,772,"11,25609756","106,4756098","117,7317073","0,1525022116"
7985,female,18/08/1998,1998,19,insta_7985,29,773,"1,275862069","76,34482759","77,62068966","0,1004148637"
4267,female,05/01/1999,1999,19,insta_4267,4,774,"2,5","45,75","48,25","0,06233850129"
6791,female,13/03/1999,1999,19,insta_6791,25,777,"4,08","146,16","150,24","0,1933590734"
4402,female,06/02/1999,1999,19,insta_4402,38,778,"0,5263157895",25,"25,52631579","0,03281017454"
6588,female,12/04/1999,1999,19,insta_6588,5,779,32,116,148,"0,189987163"
8039,female,15/06/1998,1998,19,insta_8039,100,782,"0,69","69,38","70,07","0,08960358056"
11364,female,19/07/1998,1998,19,insta_11364,100,783,"2,7","94,95","97,65","0,1247126437"
4665,female,26/01/1999,1999,19,insta_4665,53,784,"9,132075472","112,509434","121,6415094","0,1551549865"
1618,female,18/08/1998,1998,19,insta_1618,46,785,"17,97826087","137,6304348","155,6086957","0,1982276378"
8452,female,24/05/1999,1999,19,insta_8452,81,785,4,"96,80246914","100,8024691","0,1284107887"
10688,female,19/09/1998,1998,19,insta_10688,100,785,"1,71","85,89","87,6","0,1115923567"
9348,female,04/11/1998,1998,19,insta_9348,9,786,"4,777777778","160,2222222",165,"0,2099236641"
13269,female,20/04/1999,1999,19,insta_13269,7,786,"0,7142857143","283,4285714","284,1428571","0,3615049073"
14077,female,14/05/1999,1999,19,insta_14077,38,786,"3,447368421","98,47368421","101,9210526","0,1296705504"
5923,female,24/11/1998,1998,19,insta_5923,100,789,"1,48","97,68","99,16","0,1256780735"
14085,male,15/12/1998,1998,19,insta_14085,48,790,"6,041666667","283,1041667","289,1458333","0,366007384"
12700,female,24/07/1998,1998,19,insta_12700,100,792,"1,04","37,17","38,21","0,04824494949"
2195,female,23/12/1998,1998,19,insta_2195,100,795,"2,73","71,63","74,36","0,09353459119"
2866,female,31/03/1999,1999,19,insta_2866,100,799,"1,47","91,67","93,14","0,1165707134"
14815,female,06/11/1998,1998,19,insta_14815,72,801,"12,31944444","221,125","233,4444444","0,291441254"
2720,female,04/02/1999,1999,19,insta_2720,19,804,"3,052631579","70,63157895","73,68421053","0,09164702802"
9981,female,06/02/1999,1999,19,insta_9981,31,805,"7,838709677","185,7096774","193,5483871","0,240432779"
11831,female,29/06/1998,1998,19,insta_11831,100,806,"2,91","95,37","98,28","0,1219354839"
12013,female,15/02/1999,1999,19,insta_12013,40,807,"9,075","160,15","169,225","0,2096964064"
11131,female,14/01/1999,1999,19,insta_11131,24,811,"0,375","30,54166667","30,91666667","0,0381216605"
12702,female,30/03/1999,1999,19,insta_12702,1,812,21,165,186,"0,2290640394"
15812,female,12/01/1999,1999,19,insta_15812,100,812,"2,58","72,51","75,09","0,09247536946"
10124,female,25/01/1999,1999,19,insta_10124,45,816,"27,2","300,5111111","327,7111111","0,4016067538"
4775,male,13/02/1999,1999,19,insta_4775,100,818,"2,63","117,01","119,64","0,1462591687"
9335,female,18/03/1999,1999,19,insta_9335,52,821,"6,442307692","60,63461538","67,07692308","0,08170148974"
4231,female,18/04/1999,1999,19,insta_4231,200,824,"1,71","54,48","56,19","0,06819174757"
7340,female,13/09/1998,1998,19,insta_7340,20,826,"1,25","69,3","70,55","0,08541162228"
14642,female,30/01/1999,1999,19,insta_14642,100,828,"2,1","79,43","81,53","0,09846618357"
4274,female,13/10/1998,1998,19,insta_4274,67,829,"1,940298507","90,55223881","92,49253731","0,1115712151"
5615,female,16/05/1999,1999,19,insta_5615,100,831,"9,34","106,26","115,6","0,1391095066"
7013,female,26/04/1999,1999,19,insta_7013,56,840,"1,446428571","69,5","70,94642857","0,08446003401"
5308,female,04/09/1998,1998,19,insta_5308,99,841,"2,787878788","77,63636364","80,42424242","0,09562930134"
7129,male,11/01/1999,1999,19,insta_7129,14,844,"10,14285714","131,9285714","142,0714286","0,1683310765"
4269,female,05/06/1999,1999,19,insta_4269,29,846,"5,275862069","338,9310345","344,2068966","0,4068639439"
6459,female,04/06/1999,1999,19,insta_6459,26,854,"4,5","86,03846154","90,53846154","0,1060169339"
7425,female,04/08/1998,1998,19,insta_7425,100,856,"2,88","148,41","151,29","0,1767406542"
958,female,17/12/1998,1998,19,insta_958,64,857,"21,09375","425,625","446,71875","0,5212587515"
3695,female,09/02/1999,1999,19,insta_3695,40,859,"7,1","63,325","70,425","0,08198486612"
6565,female,01/08/1998,1998,19,insta_6565,100,859,"2,15","48,09","50,24","0,05848661234"
14749,female,16/04/1999,1999,19,insta_14749,95,860,"2,768421053","152,1368421","154,9052632","0,180122399"
13715,female,28/02/1999,1999,19,insta_13715,1,861,0,6,6,"0,006968641115"
9096,female,11/06/1998,1998,19,insta_9096,20,864,"1,85","99,9","101,75","0,1177662037"
6924,female,29/11/1998,1998,19,insta_6924,100,869,"2,83","85,11","87,94","0,1011967779"
3919,female,28/01/1999,1999,19,insta_3919,100,872,"2,28","59,4","61,68","0,07073394495"
7420,female,08/01/1999,1999,19,insta_7420,100,874,"2,79","55,83","58,62","0,06707093822"
16183,male,07/04/1999,1999,19,insta_16183,31,875,"4,741935484","118,0322581","122,7741935","0,1403133641"
3296,female,07/04/1999,1999,19,insta_3296,2,877,"6,5","82,5",89,"0,1014823261"
3404,female,17/11/1998,1998,19,insta_3404,100,877,"12,02","151,42","163,44","0,1863625998"
10667,female,06/04/1999,1999,19,insta_10667,14,879,"7,571428571","192,2142857","199,7857143","0,227287502"
5206,female,01/08/1998,1998,19,insta_5206,23,880,"5,217391304","33,95652174","39,17391304","0,04451581028"
11265,female,13/12/1998,1998,19,insta_11265,17,882,"3,352941176","193,9411765","197,2941176","0,2236894758"
2249,female,16/09/1998,1998,19,insta_2249,100,884,"9,89","196,02","205,91","0,2329298643"
6663,female,20/06/1998,1998,19,insta_6663,25,885,"2,32","168,56","170,88","0,1930847458"
11370,female,15/11/1998,1998,19,insta_11370,100,886,"0,93","84,85","85,78","0,09681715576"
6510,female,02/09/1998,1998,19,insta_6510,27,887,"2,777777778","103,7777778","106,5555556","0,1201302768"
7058,female,29/05/1999,1999,19,insta_7058,100,889,"1,41","73,31","74,72","0,08404949381"
9138,male,05/08/1998,1998,19,insta_9138,100,889,"1,86","75,12","76,98","0,08659167604"
9364,female,18/02/1999,1999,19,insta_9364,41,889,"7,170731707","249,9512195","257,1219512","0,2892260419"
1278,female,10/04/1999,1999,19,insta_1278,100,893,"1,92","47,23","49,15","0,05503919373"
1861,female,16/04/1999,1999,19,insta_1861,35,894,"6,057142857","125,7714286","131,8285714","0,1474592522"
7443,female,10/03/1999,1999,19,insta_7443,58,897,"8,310344828","115,8965517","124,2068966","0,1384692269"
10834,female,16/07/1998,1998,19,insta_10834,100,899,"2,6","110,5","113,1","0,1258064516"
2404,female,01/06/1999,1999,19,insta_2404,100,902,"7,51","160,98","168,49","0,1867960089"
9293,female,12/02/1999,1999,19,insta_9293,1,908,30,142,172,"0,1894273128"
12246,female,28/05/1999,1999,19,insta_12246,24,910,"2,041666667","37,95833333",40,"0,04395604396"
14076,female,13/02/1999,1999,19,insta_14076,11,914,10,178,188,"0,2056892779"
